,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,128.342, 2:08.342,239.805,165.895,2327
1,2.0,93.096, 1:33.096,240.255,166.772,2314
2,3.0,92.546, 1:32.546,240.8,166.869,2311
3,4.0,92.478, 1:32.478,241.3,167.569,2306
4,5.0,92.218, 1:32.218,240.875,167.164,2309
5,6.0,92.378, 1:32.378,240.33,166.151,2323
6,7.0,92.892, 1:32.892,240.395,167.284,2306
7,8.0,92.272, 1:32.272,240.625,167.614,2303
8,9.0,92.114, 1:32.114,241.655,167.881,2301
9,10.0,92.002, 1:32.002,240.985,168.284,2296
10,11.0,91.852, 1:31.852,240.67,154.364,2469
11,12.0,98.77, 1:38.770,80.35,70.489,123
